[18-Dec-2014 20:10:01 America/Bogota] Hello, errors!
[23-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 01:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 03:12:02 America/Chicago] Hello, errors!
[24-Dec-2014 04:12:02 America/Chicago] Hello, errors!
[24-Dec-2014 05:12:02 America/Chicago] Hello, errors!
[24-Dec-2014 06:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 08:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 11:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 12:12:02 America/Chicago] Hello, errors!
[24-Dec-2014 13:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 15:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 16:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 18:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 22:12:01 America/Chicago] Hello, errors!
[24-Dec-2014 23:12:02 America/Chicago] Hello, errors!
[25-Dec-2014 00:12:02 America/Chicago] Hello, errors!
[25-Dec-2014 01:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 06:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 08:12:02 America/Chicago] Hello, errors!
[25-Dec-2014 09:12:02 America/Chicago] Hello, errors!
[25-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 11:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 13:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 15:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 16:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 18:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[25-Dec-2014 22:12:02 America/Chicago] Hello, errors!
[25-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 01:12:02 America/Chicago] Hello, errors!
[26-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 06:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 08:12:02 America/Chicago] Hello, errors!
[26-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 10:12:02 America/Chicago] Hello, errors!
[26-Dec-2014 11:12:02 America/Chicago] Hello, errors!
[26-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 13:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 15:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 16:12:02 America/Chicago] Hello, errors!
[26-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 18:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 21:12:02 America/Chicago] Hello, errors!
[26-Dec-2014 22:12:01 America/Chicago] Hello, errors!
[26-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 01:12:02 America/Chicago] Hello, errors!
[27-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 03:12:02 America/Chicago] Hello, errors!
[27-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 06:12:02 America/Chicago] Hello, errors!
[27-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 08:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 11:12:02 America/Chicago] Hello, errors!
[27-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 13:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 14:12:02 America/Chicago] Hello, errors!
[27-Dec-2014 15:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 16:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 18:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 22:12:01 America/Chicago] Hello, errors!
[27-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 01:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 06:12:02 America/Chicago] Hello, errors!
[28-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 08:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 11:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 12:12:02 America/Chicago] Hello, errors!
[28-Dec-2014 13:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 15:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 16:12:02 America/Chicago] Hello, errors!
[28-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 18:12:02 America/Chicago] Hello, errors!
[28-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[28-Dec-2014 22:12:02 America/Chicago] Hello, errors!
[28-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 01:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 06:12:02 America/Chicago] Hello, errors!
[29-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 08:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 09:12:02 America/Chicago] Hello, errors!
[29-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 11:12:02 America/Chicago] Hello, errors!
[29-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 13:12:02 America/Chicago] Hello, errors!
[29-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 15:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 16:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 18:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[29-Dec-2014 22:12:02 America/Chicago] Hello, errors!
[29-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 01:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 06:12:02 America/Chicago] Hello, errors!
[30-Dec-2014 07:12:02 America/Chicago] Hello, errors!
[30-Dec-2014 08:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 10:12:02 America/Chicago] Hello, errors!
[30-Dec-2014 11:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 13:12:02 America/Chicago] Hello, errors!
[30-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 15:12:02 America/Chicago] Hello, errors!
[30-Dec-2014 16:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 18:12:02 America/Chicago] Hello, errors!
[30-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 22:12:01 America/Chicago] Hello, errors!
[30-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 01:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 06:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 07:12:02 America/Chicago] Hello, errors!
[31-Dec-2014 08:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 11:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 13:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 15:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 16:12:02 America/Chicago] Hello, errors!
[31-Dec-2014 17:12:06 America/Chicago] Hello, errors!
[31-Dec-2014 18:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[31-Dec-2014 22:12:02 America/Chicago] Hello, errors!
[31-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 00:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 01:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 02:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 03:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 04:12:02 America/Chicago] Hello, errors!
[01-Jan-2015 05:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 06:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 07:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 08:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 09:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 10:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 11:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 12:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 13:12:02 America/Chicago] Hello, errors!
[01-Jan-2015 14:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 15:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 16:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 17:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 18:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 19:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 20:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 21:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 22:12:01 America/Chicago] Hello, errors!
[01-Jan-2015 23:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 00:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 01:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 02:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 03:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 04:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 05:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 06:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 07:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 08:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 09:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 10:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 11:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 12:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 13:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 14:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 15:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 16:12:02 America/Chicago] Hello, errors!
[02-Jan-2015 17:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 18:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 19:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 20:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 21:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 22:12:01 America/Chicago] Hello, errors!
[02-Jan-2015 23:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 00:12:02 America/Chicago] Hello, errors!
[03-Jan-2015 01:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 02:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 03:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 04:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 05:12:02 America/Chicago] Hello, errors!
[03-Jan-2015 06:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 07:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 08:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 09:12:02 America/Chicago] Hello, errors!
[03-Jan-2015 10:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 11:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 12:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 13:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 14:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 15:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 16:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 17:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 18:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 19:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 20:12:01 America/Chicago] Hello, errors!
[03-Jan-2015 21:12:02 America/Chicago] Hello, errors!
[04-Jan-2015 13:19:01 America/Chicago] Hello, errors!
[05-Jan-2015 13:19:01 America/Chicago] Hello, errors!
[06-Jan-2015 13:19:01 America/Chicago] Hello, errors!
[07-Jan-2015 13:19:02 America/Chicago] Hello, errors!
[08-Jan-2015 13:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 10:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 11:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 12:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 13:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 14:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 15:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 16:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 17:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 18:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 19:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 20:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 21:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 22:19:02 America/Chicago] Hello, errors!
[09-Jan-2015 23:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 00:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 01:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 02:19:01 America/Chicago] Hello, errors!
[10-Jan-2015 03:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 04:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 05:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 06:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 07:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 08:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 09:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 10:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 11:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 12:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 13:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 14:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 15:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 16:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 17:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 18:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 19:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 20:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 21:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 22:19:02 America/Chicago] Hello, errors!
[10-Jan-2015 23:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 00:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 01:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 02:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 03:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 04:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 05:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 06:19:01 America/Chicago] Hello, errors!
[11-Jan-2015 07:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 08:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 09:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 10:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 11:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 12:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 13:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 14:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 15:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 16:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 17:19:02 America/Chicago] Hello, errors!
[11-Jan-2015 18:19:02 America/Chicago] Hello, errors!
